channelName,title,relevant_tags,combined_text,url,date,duration,text,thumbnailUrl,cleaned_text,tags
Hitting Done Right - HDR,Don’t Dump the Barrel🤘| Hitting Done Right -- Youth Baseball Swing Drills,"barrel,swing,drill,hitting,practice","Don’t Dump the Barrel🤘| Hitting Done Right -- Youth Baseball Swing Drills This drill is good for players who dump the barrel below their hands early, those who have dragging back elbow issues, and for overall forearm /wrist/ hand strength. Staying through the zone from back to front

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://www.youtube.com/watch?v=CfnTD3DyEM0,8/21/2023,1:43,"This drill is good for players who dump the barrel below their hands early, those who have dragging back elbow issues, and for overall forearm /wrist/ hand strength. Staying through the zone from back to front

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://i.ytimg.com/vi/CfnTD3DyEM0/maxresdefault.jpg,"dont dump the barrel hitting done right  youth baseball swing drills this drill is good for players who dump the barrel below their hands early those who have dragging back elbow issues and for overall forearm wrist hand strength staying through the zone from back to front

swing analysis
httpshittingdonerightcompayments

practice plans httpshittingdonerightcompayments

merchandise httpshittingdonerightcommerch

equipment promocodes  httpshittingdonerightcompromocodes","analysis, barrel, baseball, dont, drill, drills, early, elbow, equipment, good, hand, hands, hitting, httpshittingdonerightcommerch, httpshittingdonerightcompayments, httpshittingdonerightcompromocodes, issues, merchandise, overall, plans, players, practice, promocodes, right, staying, strength, swing, youth, zone"
Hitting Done Right - HDR,Coach Cathcart's Favorite PVC Hitting Drills | Hitting Done Right - Youth Baseball Drills,"swing,drill,hitting,practice","Coach Cathcart's Favorite PVC Hitting Drills | Hitting Done Right - Youth Baseball Drills In this video I walk you all through some of my favorite PVC drills I use with my youth baseball and softball hitters.
PVC is such a great tool for awareness and visuals. The length really helps young baseball and softball players understand direction and angles in their swing.
If you haven’t implemented PVC into your young hitter’s routine you should do so immediately if they are struggling with consistency and understanding of their baseball or softball swing.

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://www.youtube.com/watch?v=uweWfJRw7Vc,8/1/2023,5:36,"In this video I walk you all through some of my favorite PVC drills I use with my youth baseball and softball hitters.
PVC is such a great tool for awareness and visuals. The length really helps young baseball and softball players understand direction and angles in their swing.
If you haven’t implemented PVC into your young hitter’s routine you should do so immediately if they are struggling with consistency and understanding of their baseball or softball swing.

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://i.ytimg.com/vi/uweWfJRw7Vc/maxresdefault.jpg,"coach cathcarts favorite pvc hitting drills  hitting done right  youth baseball drills in this video i walk you all through some of my favorite pvc drills i use with my youth baseball and softball hitters
pvc is such a great tool for awareness and visuals the length really helps young baseball and softball players understand direction and angles in their swing
if you havent implemented pvc into your young hitters routine you should do so immediately if they are struggling with consistency and understanding of their baseball or softball swing

swing analysis
httpshittingdonerightcompayments

practice plans httpshittingdonerightcompayments

merchandise httpshittingdonerightcommerch

equipment promocodes  httpshittingdonerightcompromocodes","analysis, angles, awareness, baseball, cathcarts, coach, consistency, direction, drills, equipment, favorite, great, helps, hitters, hitting, httpshittingdonerightcommerch, httpshittingdonerightcompayments, httpshittingdonerightcompromocodes, merchandise, plans, players, practice, promocodes, pvc, really, right, routine, softball, swing, understand, understanding, use, video, walk, young, youth"
Hitting Done Right - HDR,Roll It Back - Separation Drill | Hitting Done Right - - Baseball Swing Drills,"swing,drill,load,separation,hitting,practice","Roll It Back - Separation Drill | Hitting Done Right - - Baseball Swing Drills This short drill video is to help players load properly and create space/separation in their body when they hit launch position. Great warm up drill for all ages including youth baseball players up through college.

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes

⏱️TIME STAMP⏱️
00:00 Intro
00:12 Roll It Back Drill Explanation
00:42 Proper Finish Position
01:15 Drill Summary",https://www.youtube.com/watch?v=EczxevOOVLY,6/8/2023,1:29,"This short drill video is to help players load properly and create space/separation in their body when they hit launch position. Great warm up drill for all ages including youth baseball players up through college.

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes

⏱️TIME STAMP⏱️
00:00 Intro
00:12 Roll It Back Drill Explanation
00:42 Proper Finish Position
01:15 Drill Summary",https://i.ytimg.com/vi/EczxevOOVLY/maxresdefault.jpg,"roll it back  separation drill  hitting done right   baseball swing drills this short drill video is to help players load properly and create spaceseparation in their body when they hit launch position great warm up drill for all ages including youth baseball players up through college

swing analysis
httpshittingdonerightcompayments

practice plans httpshittingdonerightcompayments

merchandise httpshittingdonerightcommerch

equipment promocodes  httpshittingdonerightcompromocodes

time stamp
0000 intro
0012 roll it back drill explanation
0042 proper finish position
0115 drill summary","0000, ages, analysis, baseball, body, college, create, drill, drills, equipment, finish, great, help, hit, hitting, httpshittingdonerightcommerch, httpshittingdonerightcompayments, httpshittingdonerightcompromocodes, intro, launch, load, merchandise, plans, players, position, practice, promocodes, proper, properly, right, separation, short, swing, time, video, warm, youth"
Hitting Done Right - HDR,Cant We All Get Along - Online Coaching | Hitting Done Right - Baseball Coaching,"swing,hitting,practice","Cant We All Get Along - Online Coaching | Hitting Done Right - Baseball Coaching In this video I talk about the world of online coaching, how to treat people, and differences of opinion in the swing! There is not one way only to hit; there are a few absolutes but no one way to get it done once you step in the box. This is the same for youth baseball players as well as college and even the pros.

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://www.youtube.com/watch?v=1pWxLkBWKoA,6/1/2023,6:44,"In this video I talk about the world of online coaching, how to treat people, and differences of opinion in the swing! There is not one way only to hit; there are a few absolutes but no one way to get it done once you step in the box. This is the same for youth baseball players as well as college and even the pros.

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://i.ytimg.com/vi/1pWxLkBWKoA/maxresdefault.jpg,"cant we all get along  online coaching  hitting done right  baseball coaching in this video i talk about the world of online coaching how to treat people and differences of opinion in the swing there is not one way only to hit there are a few absolutes but no one way to get it done once you step in the box this is the same for youth baseball players as well as college and even the pros

swing analysis
httpshittingdonerightcompayments

practice plans httpshittingdonerightcompayments

merchandise httpshittingdonerightcommerch

equipment promocodes  httpshittingdonerightcompromocodes","analysis, baseball, box, coaching, college, equipment, hit, hitting, httpshittingdonerightcommerch, httpshittingdonerightcompayments, httpshittingdonerightcompromocodes, merchandise, people, plans, players, practice, promocodes, right, swing, talk, video, way, world, youth"
Hitting Done Right - HDR,TOP 3 Hitting Drills 🤘| Hitting Done Right,"swing,drill,hitting,practice","TOP 3 Hitting Drills 🤘| Hitting Done Right In this video I go through 3 of my top drills for players of all ages! Being consistent in our moves and deliberate in our practice is a separating factor for players. Find drills that work for you and stick to a routine!

Swing Analysis: https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://www.youtube.com/watch?v=a6QFgHpvJiw,5/16/2023,5:31,"In this video I go through 3 of my top drills for players of all ages! Being consistent in our moves and deliberate in our practice is a separating factor for players. Find drills that work for you and stick to a routine!

Swing Analysis: https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://i.ytimg.com/vi/a6QFgHpvJiw/maxresdefault.jpg,"top 3 hitting drills  hitting done right in this video i go through 3 of my top drills for players of all ages being consistent in our moves and deliberate in our practice is a separating factor for players find drills that work for you and stick to a routine

swing analysis httpshittingdonerightcompayments

practice plans httpshittingdonerightcompayments

merchandise httpshittingdonerightcommerch

equipment promocodes  httpshittingdonerightcompromocodes","ages, analysis, consistent, drills, equipment, factor, hitting, httpshittingdonerightcommerch, httpshittingdonerightcompayments, httpshittingdonerightcompromocodes, merchandise, moves, plans, players, practice, promocodes, right, routine, swing, video, work"
Hitting Done Right - HDR,Connection🤘 Shorten up the Path | Hitting Done Right,"barrel,swing,drill,hitting,practice","Connection🤘 Shorten up the Path | Hitting Done Right I’m this instructional video I discuss connection in the swing. Connection is an important concept and position to understand for young hitters. When players get disconnected the barrel slows and there is a loss of control; which makes adjustability very difficult! Hopefully the drills can help players with long disconnected swings get on the right track!

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://www.youtube.com/watch?v=MdDaSxSbKWo,4/25/2023,7:02,"I’m this instructional video I discuss connection in the swing. Connection is an important concept and position to understand for young hitters. When players get disconnected the barrel slows and there is a loss of control; which makes adjustability very difficult! Hopefully the drills can help players with long disconnected swings get on the right track!

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://i.ytimg.com/vi/MdDaSxSbKWo/maxresdefault.jpg,"connection shorten up the path  hitting done right im this instructional video i discuss connection in the swing connection is an important concept and position to understand for young hitters when players get disconnected the barrel slows and there is a loss of control which makes adjustability very difficult hopefully the drills can help players with long disconnected swings get on the right track

swing analysis
httpshittingdonerightcompayments

practice plans httpshittingdonerightcompayments

merchandise httpshittingdonerightcommerch

equipment promocodes  httpshittingdonerightcompromocodes","analysis, barrel, concept, connection, control, difficult, disconnected, discuss, drills, equipment, help, hitters, hitting, httpshittingdonerightcommerch, httpshittingdonerightcompayments, httpshittingdonerightcompromocodes, im, important, long, loss, merchandise, path, plans, players, position, practice, promocodes, right, shorten, swing, swings, track, understand, video, young"
Hitting Done Right - HDR,Warm up Routine - Get the Body and Mind Right🤘| Hitting Done Right,"swing,focus,hitting,practice","Warm up Routine - Get the Body and Mind Right🤘| Hitting Done Right Warming up is extreme important for a host of reasons but none more important than how the human brain works better with routines! Get that mind ready to focus on the task at hand.
In this video I walk you all through an example warm up routine for hitters. Proper warm up helps to avoid injuries, low intensity helps to really lick in on movements, and the before mentioned mental prep for our session!

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://www.youtube.com/watch?v=eSQ8aKk0Png,4/20/2023,6:52,"Warming up is extreme important for a host of reasons but none more important than how the human brain works better with routines! Get that mind ready to focus on the task at hand.
In this video I walk you all through an example warm up routine for hitters. Proper warm up helps to avoid injuries, low intensity helps to really lick in on movements, and the before mentioned mental prep for our session!

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://i.ytimg.com/vi/eSQ8aKk0Png/maxresdefault.jpg,"warm up routine  get the body and mind right hitting done right warming up is extreme important for a host of reasons but none more important than how the human brain works better with routines get that mind ready to focus on the task at hand
in this video i walk you all through an example warm up routine for hitters proper warm up helps to avoid injuries low intensity helps to really lick in on movements and the before mentioned mental prep for our session

swing analysis
httpshittingdonerightcompayments

practice plans httpshittingdonerightcompayments

merchandise httpshittingdonerightcommerch

equipment promocodes  httpshittingdonerightcompromocodes","analysis, better, body, equipment, focus, hand, helps, hitters, hitting, httpshittingdonerightcommerch, httpshittingdonerightcompayments, httpshittingdonerightcompromocodes, important, merchandise, movements, plans, practice, promocodes, proper, ready, really, reasons, right, routine, session, swing, video, walk, warm"
Hitting Done Right - HDR,PRO SOFTBALL SESSION- Miss Tori Vidales🤘WOW | Hitting Done Right,"swing,hitting,practice","PRO SOFTBALL SESSION- Miss Tori Vidales🤘WOW | Hitting Done Right This is a clip from the best session I’ve ever been in! I can’t thank Tori…an Olympian and Pro player enough for coming and being a cage rat with me! What a joy to see one of the top players in the world go through her process and collaborate🤘

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://www.youtube.com/watch?v=UBPNi9OxUNY,4/12/2023,8:20,"This is a clip from the best session I’ve ever been in! I can’t thank Tori…an Olympian and Pro player enough for coming and being a cage rat with me! What a joy to see one of the top players in the world go through her process and collaborate🤘

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://i.ytimg.com/vi/UBPNi9OxUNY/maxresdefault.jpg,"pro softball session miss tori vidaleswow  hitting done right this is a clip from the best session ive ever been in i cant thank torian olympian and pro player enough for coming and being a cage rat with me what a joy to see one of the top players in the world go through her process and collaborate

swing analysis
httpshittingdonerightcompayments

practice plans httpshittingdonerightcompayments

merchandise httpshittingdonerightcommerch

equipment promocodes  httpshittingdonerightcompromocodes","analysis, best, clip, coming, equipment, hitting, httpshittingdonerightcommerch, httpshittingdonerightcompayments, httpshittingdonerightcompromocodes, merchandise, miss, plans, player, players, practice, pro, process, promocodes, right, session, softball, swing, world"
Hitting Done Right - HDR,Lesson Look In : Hip Load - How to get ready to 🔥 | Hitting Done Right,"swing,load,hitting,practice","Lesson Look In : Hip Load - How to get ready to 🔥 | Hitting Done Right Controlling the load is the beginning of a consistent/strong swing! Something that may look easy IS NOT!  Working through the moves is imperative for all hitters!  All different ways to describe it or demonstrate it; but at the end of the day, you have to CONTROL THE LOAD!

Get your personal swing analysis and custom practice plan:

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://www.youtube.com/watch?v=cjmj2On5ltk,4/10/2023,8:36,"Controlling the load is the beginning of a consistent/strong swing! Something that may look easy IS NOT!  Working through the moves is imperative for all hitters!  All different ways to describe it or demonstrate it; but at the end of the day, you have to CONTROL THE LOAD!

Get your personal swing analysis and custom practice plan:

Swing Analysis :
https://hittingdoneright.com/payments

Practice Plans: https://hittingdoneright.com/payments

Merchandise: https://hittingdoneright.com/merch

Equipment Promocodes : https://hittingdoneright.com/promo-codes",https://i.ytimg.com/vi/cjmj2On5ltk/maxresdefault.jpg,"lesson look in  hip load  how to get ready to   hitting done right controlling the load is the beginning of a consistentstrong swing something that may look easy is not  working through the moves is imperative for all hitters  all different ways to describe it or demonstrate it but at the end of the day you have to control the load

get your personal swing analysis and custom practice plan

swing analysis
httpshittingdonerightcompayments

practice plans httpshittingdonerightcompayments

merchandise httpshittingdonerightcommerch

equipment promocodes  httpshittingdonerightcompromocodes","analysis, beginning, control, controlling, demonstrate, different, easy, equipment, hip, hitters, hitting, httpshittingdonerightcommerch, httpshittingdonerightcompayments, httpshittingdonerightcompromocodes, imperative, lesson, load, look, merchandise, moves, personal, plan, plans, practice, promocodes, ready, right, swing, working"
Hitting Done Right - HDR,How To: STAY Back PROPERLY | Hitting Done Right,"swing,load,hitting","How To: STAY Back PROPERLY | Hitting Done Right In this video I work through the process of staying back properly while hitting. Starting with the load/hip coil and working into launch and swing; the ability to stay back and not get out in front is paramount in being a successful hitter! Hope the video helps!!

Get your personalized swing analysis @ https://hittingdoneright.com
Shop Hitting Done Right Hats and Shirts @ https://hittingdoneright.com/merch",https://www.youtube.com/watch?v=No2xIDZePps,4/5/2023,5:17,"In this video I work through the process of staying back properly while hitting. Starting with the load/hip coil and working into launch and swing; the ability to stay back and not get out in front is paramount in being a successful hitter! Hope the video helps!!

Get your personalized swing analysis @ https://hittingdoneright.com
Shop Hitting Done Right Hats and Shirts @ https://hittingdoneright.com/merch",https://i.ytimg.com/vi/No2xIDZePps/maxresdefault.jpg,"how to stay back properly  hitting done right in this video i work through the process of staying back properly while hitting starting with the loadhip coil and working into launch and swing the ability to stay back and not get out in front is paramount in being a successful hitter hope the video helps

get your personalized swing analysis  httpshittingdonerightcom
shop hitting done right hats and shirts  httpshittingdonerightcommerch","ability, analysis, coil, helps, hitter, hitting, hope, httpshittingdonerightcom, httpshittingdonerightcommerch, launch, personalized, process, properly, right, starting, stay, staying, swing, video, work, working"
